smiles,pIC50
COc1ccc2ncc(F)c(CC(NS(C)(=O)=O)C34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.4814860601221
COc1ccc2ncc(F)c(CC(O)(C(F)(F)F)C34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.619788758288376
COc1ccc2ncc(F)c(CC(OCC(=O)O)C34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.522878745280323
COc1ccc2ncc(F)c(CC(OCCO)C34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.853871964321731
COc1ccc2ncc(F)c(CCC34CCC(N(C)Cc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.920818753952339
COc1ccc2ncc(F)c(CCC34CCC(NCc5cc(C)c6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.939302159646351
COc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)N(C)C(=O)CO6)(CC3)CO4)c2n1,6.096910013008002
COc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)C(C)(C)O6)(CC3)CO4)c2n1,5.522878745280323
COc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)C(C)O6)(CC3)CO4)c2n1,5.886056647693129
COc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,6.221848749616283
COc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1.Cl,6.221848749616283
COc1ccc2ncc(F)c(CCC34CCC(NCc5nc6c(c(C)c5C(C)C)OCC(=O)N6)(CC3)CO4)c2n1,5.920818753952339
COc1ccc2ncc(F)c(CCC34CCC(NCc5nc6c(c(C)c5C)OCC(=O)N6)(CC3)CO4)c2n1,5.593459819566028
COc1ccc2ncc(F)c(CCC34CCC(NCc5nc6c(c(C)c5F)OCC(=O)N6)(CC3)CO4)c2n1,6.045757490560627
COc1ccc2ncc(F)c(CCC34CCC(NCc5nc6c(cc5C)OCC(=O)N6)(CC3)CO4)c2n1,5.576754126063175
COc1ccc2ncc(F)c(CCC34CCC(NCc5nc6c(cc5Cl)OCC(=O)N6)(CC3)CO4)c2n1,5.236572006437055
COc1ccc2ncc(F)c(CCC34CCC(NCc5nc6c(cc5F)OCC(=O)N6)(CC3)CO4)c2n1,5.886056647693129
COc1ccc2ncc(F)c(C[C@H](O)C34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,4.744727494896692
COc1ccc2ncc(F)c(C[C@H](O)C34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1.Cl,4.744727494896692
COc1ccc2ncc(F)c(C[C@H](OC)C34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.221848749616349
COc1ccc2ncc(F)c([C@@H](O)[C@H](O)C34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,4.221848749616355
COc1ccc2ncc(F)c([C@H](O)[C@@H](O)C34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,4.4424927980943405
COc1ccc2ncc(O)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.707743928643502
COc1ccc2ncc(OC)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.370590400897271
COc1ccc2ncc(S(C)(=O)=O)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.703334809738447
COc1ccc2nccc(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,6.031517051446018
COc1cnc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)ccnc2c1,7.806318970455938
COc1nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c(F)cnc2cc1C(F)(F)F,8.76955107859618
COc1nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c(F)cnc2cc1F,9.136677139820051
COc1nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)ccnc2cc1C#N,8.795880017316932
COc1nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)ccnc2cc1Cl,8.376750709591759
COc1nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)ccnc2cc1F,8.603800652886822
Cc1cc(C#N)nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)ccnc12,8.681936665016359
Cc1cc(S(C)(=O)=O)nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c(F)cnc12,7.907279355312393
Cc1cc(S(C)(=O)=O)nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)ccnc12,8.173277479824536
Cc1nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)ccnc2cc1C#N,9.060480747331463
N#CCCCOc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.050609993355082
N#Cc1ccc2ncc(C#N)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,8.779891911933783
N#Cc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,8.412289034969866
NC(=O)C(F)(F)CCOc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.03621217265444
NCC(O)COc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.4814860601221
NCCCCOc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.096910013008051
NCCCOc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.102372908709553
NCCOc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,4.756961951313703
Nc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,8.493494967581599
O=C(O)CCCCOc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,4.361510743045361
O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6cc(C(F)(F)F)cnc56)(CC3)OC4)nc2N1,9.05060999330629
O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6cc(Cl)cnc56)(CC3)OC4)nc2N1,8.485452247326434
O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(O)nc56)(CC3)OC4)nc2N1,8.316052869239495
O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(OC(F)F)nc56)(CC3)OC4)nc2N1,6.154901959985681
O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(OCC(CO)CO)nc56)(CC3)OC4)nc2N1,4.978810700930058
O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(OCC(F)(F)F)nc56)(CC3)OC4)nc2N1,5.958607314841736
O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(OCC(O)CO)nc56)(CC3)OC4)nc2N1,5.638272163982388
O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(OCCCCCO)nc56)(CC3)OC4)nc2N1,6.154901959985681
O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(OCCCCO)nc56)(CC3)OC4)nc2N1,5.619788758288376
O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(OCCCO)nc56)(CC3)OC4)nc2N1,5.619788758288376
O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(OCCO)nc56)(CC3)OC4)nc2N1,4.85542579239038
O=C1COc2ccc(CNC34CCC(CCc5ccnc6cc(C(F)(F)F)cnc56)(CC3)OC4)nc2N1,9.408935392862142
O=C1COc2ccc(CNC34CCC(CCc5ccnc6cc(Cl)cnc56)(CC3)OC4)nc2N1,8.307153080713961
O=C1COc2ccc(CNC34CCC(CCc5ccnc6cc(F)cnc56)(CC3)OC4)nc2N1,7.775985188624543
O=C1COc2ccc(CNC34CCC(CCc5ccnc6ccc(C(F)(F)F)nc56)(CC3)OC4)nc2N1,9.004364805358582
O=C1COc2ccc(CNC34CCC([C@@H](O)Cc5c(F)cnc6ccc(OCCO)nc56)(CC3)OC4)nc2N1,4.527243550682786
CC(C)(C)c1nccn1Cc1cn(-c2ccc(Cl)c(Cl)c2)nn1,6.279014255846178
CC(C)(C)c1nccn1Cc1cn(-c2ccc(Cl)c(OC(F)F)c2)nn1,7.137272471681429
CC(C)(C)c1nccn1Cc1cn(-c2ccc(Cl)cc2)nn1,5.142667503568726
CC(C)(C)c1nccn1Cc1cn(-c2ccc(F)c(C(F)F)c2)nn1,6.882728704343904
CC(C)c1nccn1Cc1cn(-c2ccc(Cl)c(C(F)F)c2)nn1,8.280668713007985
CC(C)c1nccn1Cc1cn(-c2ccc(Cl)c(Cl)c2)nn1,8.130768280263155
CC(C)c1nccn1Cc1cn(-c2ccc(Cl)c(OC(F)F)c2)nn1,8.505845405967637
CC(C)c1nccn1Cc1cn(-c2ccc(Cl)cc2)nn1,7.111259039316546
CC(C)c1nccn1Cc1cn(-c2ccc(F)c(C(F)F)c2)nn1,7.958607314837827
CC(C)c1nccn1Cc1cn(-c2cccc(OC(F)(F)F)c2)nn1,7.485452247338386
CC(F)(F)c1cc(-n2cc(Cn3ccnc3CCO)nn2)ccc1F,8.09258863922004
CC(F)(F)c1cc(-n2cc(Cn3ccnc3N)nn2)ccc1Cl,9.292429823816908
CC(F)(F)c1cc(-n2cc(Cn3ccnc3N)nn2)ccc1F,9.292429823816908
CCCCc1nccn1Cc1cn(-c2ccc(Cl)c(Cl)c2)nn1,8.164943898273535
CCCCc1nccn1Cc1cn(-c2ccc(Cl)cc2)nn1,7.410050398673176
CCCCc1nccn1Cc1cn(-c2ccc(F)c(C(F)F)c2)nn1,8.367542707805152
CCCCc1nccn1Cc1cn(-c2ccc(F)c(Cl)c2)nn1,8.114638779962833
CCCc1nccn1Cc1cn(-c2ccc(Cl)c(Cl)c2)nn1,8.115204636045357
CCCc1nccn1Cc1cn(-c2ccc(Cl)cc2)nn1,7.331614083309068
CCCc1nccn1Cc1cn(-c2ccc(F)c(C(F)F)c2)nn1,8.46852108294497
CCCc1nccn1Cc1cn(-c2ccc(F)c(Cl)c2)nn1,8.007004901564246
CCc1nccn1Cc1cn(-c2ccc(Cl)c(C(F)F)c2)nn1,8.614393726383815
CCc1nccn1Cc1cn(-c2ccc(Cl)c(C)c2)nn1,8.73518217696686
CCc1nccn1Cc1cn(-c2ccc(Cl)c(Cl)c2)nn1,8.332547047100707
CCc1nccn1Cc1cn(-c2ccc(Cl)c(OC(F)F)c2)nn1,8.795880017316932
CCc1nccn1Cc1cn(-c2ccc(Cl)cc2)nn1,7.588380294035087
CCc1nccn1Cc1cn(-c2ccc(F)c(C(F)F)c2)nn1,8.386158178113364
CCc1nccn1Cc1cn(-c2ccc(F)c(Cl)c2)nn1,8.29929628284633
CCc1nccn1Cc1cn(-c2cccc(OC(F)(F)F)c2)nn1,7.943095148659718
COc1cc(F)ccc1-n1cc(Cn2ccnc2C)nn1,5.928117992693838
CS(=O)(=O)c1cccc(-n2cc(Cn3ccnc3CCF)nn2)c1,5.571865205971195
CS(=O)(=O)c1cccc(-n2cc(Cn3ccnc3CCO)nn2)c1,5.853871964321731
Cc1cc(-n2cc(Cn3ccnc3C(C)C)nn2)ccc1Cl,8.349692476858348
Cc1cc(-n2cc(Cn3ccnc3C)nn2)ccc1Cl,8.78515615192582
Cc1cc(-n2cc(Cn3ccnc3C)nn2)ccc1F,8.274088367696788
Cc1cc(-n2cc(Cn3ccnc3CCF)nn2)ccc1Cl,7.8696662315017765
Cc1cc(-n2cc(Cn3ccnc3CCO)nn2)ccc1Cl,8.16115090925645
Cc1ccc(-n2cc(Cn3ccnc3C)nn2)cc1F,7.576754126061553
Cc1nccn1Cc1cn(-c2cc(F)cc(C(F)F)c2)nn1,7.586700235917071
Cc1nccn1Cc1cn(-c2ccc(C(F)(F)F)cc2)nn1,7.3372421683174815
Cc1nccn1Cc1cn(-c2ccc(Cl)c(C(F)(F)F)c2)nn1,7.924453038603819
Cc1nccn1Cc1cn(-c2ccc(Cl)c(C(F)F)c2)nn1,8.472370099115775
Cc1nccn1Cc1cn(-c2ccc(Cl)c(Cl)c2)nn1,8.308034897223813
Cc1nccn1Cc1cn(-c2ccc(Cl)c(F)c2)nn1,7.6736641390692
Cc1nccn1Cc1cn(-c2ccc(Cl)c(OC(F)F)c2)nn1,8.920818753916183
Cc1nccn1Cc1cn(-c2ccc(Cl)cc2)nn1,7.415668775631338
Cc1nccn1Cc1cn(-c2ccc(Cl)cc2Cl)nn1,6.1090204030102555
Cc1nccn1Cc1cn(-c2ccc(F)c(C(C)(F)F)c2)nn1,8.392544976774609
Cc1nccn1Cc1cn(-c2ccc(F)c(C(F)F)c2)nn1,8.416801226020038
Cc1nccn1Cc1cn(-c2ccc(F)c(Cl)c2)nn1,8.154281982027147
Cc1nccn1Cc1cn(-c2ccc(F)c(OC(F)F)c2)nn1,8.721246399024313
Cc1nccn1Cc1cn(-c2cccc(C(F)(F)F)c2)nn1,7.759450751714905
Cc1nccn1Cc1cn(-c2cccc(OC(F)(F)F)c2)nn1,8.142064735274548
Cc1nccn1Cc1cn(-c2cccc(S(C)(=O)=O)c2)nn1,6.211124884224512
Clc1ccc(-n2cc(Cn3ccnc3Cl)nn2)cc1,5.003050751504615
FCCc1nccn1Cc1cn(-c2cc(F)cc(C(F)F)c2)nn1,6.73048705578185
FCCc1nccn1Cc1cn(-c2ccc(Cl)c(Cl)c2)nn1,7.581698708678597
FCCc1nccn1Cc1cn(-c2ccc(Cl)c(OC(F)F)c2)nn1,8.220403508734961
Nc1nccn1Cc1cn(-c2cc(F)cc(C(F)F)c2)nn1,8.671620396540874
Nc1nccn1Cc1cn(-c2ccc(Cl)c(C(=O)C(F)F)c2)nn1,5.193820026016106
Nc1nccn1Cc1cn(-c2ccc(Cl)c(C(F)F)c2)nn1,9.18708664329033
Nc1nccn1Cc1cn(-c2ccc(Cl)c(OC(F)F)c2)nn1,9.283996656281683
Nc1nccn1Cc1cn(-c2ccc(F)c(C(F)F)c2)nn1,9.318758762533935
